desc,dice,log
config/eunet,0.6246631302956156,
config/eunet_fixmatch.yaml,0.612250015453132,
config/eunet,0.6636245347429468,
config/eunet_fixmatch.yaml,0.6135976643229708,
./config/eunet_fixmatch.yaml,0.6538430618734355,
./config/eunet_fixmatch.yaml,0.6286843235049372,
config/eunet,0.7325222955894404,
config/eunet,0.7577614922828425,
./config/eunet_fixmatch.yaml,0.6568933759996598,
./config/eunet_fixmatch.yaml,0.6626617640613642,
config/eunet,0.753823843247064,
config/eunet_batch*2,0.7647321660773869,
config/universeg,0.4880415409724588,
config/universeg1,0.6407277160734367,
config/universeg2,0.5532536572495139,
config/universeg3,0.7351707808765439,
config/universeg4,0.4025808825750607,
config/universeg5,0.7793255886076587,
config/universeg6,0.8306836486102235,
config/universeg7,0.8307787879707887,
universeg_config/universeg_base,0.5132444613063375,
universeg_config/universeg_lr-,0.452885943087264,
universeg_config/universeg_lr+,0.5362305705808221,
universeg_config/universeg_big,0.5840890945105971,
universeg_config/universeg_big,0.6329717892356616,
universeg_config/universeg_base2,0.5347780472093036,
universeg_config/universeg_base2_big,0.5964866382644743,
universeg_config/universeg_base2_big_batch,0.6240902426696652,
universeg_config/universeg_base2_big_batch_lr-,0.560078226947197,
universeg_config/universeg_base2_big_batch_lr+,0.4984621631797928,
config/eunet20,0.5626468958739962,
universeg_config/universeg_base2_full,0.7720302293837601,/home/4T/zcr/seg_base/24-05-08_19-16.log
universeg_config/big/lr1,0.6443931871253733,/home/4T/zcr/seg_base/universeg_config/big/log/24-05-09_11-16.log
universeg_config/big/lr2,0.601988961640638,/home/4T/zcr/seg_base/universeg_config/big/log/24-05-09_12-05.log
universeg_config/leakyrelu/kamingnormal,0.5780817736604944,/home/4T/zcr/seg_base/universeg_config/leakyrelu/log/24-05-09_13-06.log
universeg_config/leakyrelu/noinit,0.542303883599855,/home/4T/zcr/seg_base/universeg_config/leakyrelu/log/24-05-09_13-28.log
universeg_config/batchnorm/lr1,0.6137760286567429,/home/4T/zcr/seg_base/universeg_config/batchnorm/log/24-05-09_14-28.log
universeg_config/big/lr1,0.5768657982250428,/home/4T/zcr/seg_base/universeg_config/big/log/24-05-09_14-42.log
universeg_config/relu/kamingnormal,0.600964089218004,/home/4T/zcr/seg_base/universeg_config/relu/log/24-05-09_14-55.log
universeg_config/small/lr1,0.4527217908947049,/home/4T/zcr/seg_base/universeg_config/small/log/24-05-09_15-30.log
universeg_config/small/lr2,0.4119240059686908,/home/4T/zcr/seg_base/universeg_config/small/log/24-05-09_15-41.log
universeg_config/batchnorm/big,0.5791626987981447,/home/4T/zcr/seg_base/universeg_config/batchnorm/log/24-05-09_19-57.log
universeg_config/batchnorm/bigk,0.6106196017090191,/home/4T/zcr/seg_base/universeg_config/batchnorm/log/24-05-09_20-22.log
universeg_config/batchnorm/bigk,0.5564111248102425,/home/4T/zcr/seg_base/universeg_config/batchnorm/log/24-05-09_20-46.log
universeg_config/batchnorm/init_relu,0.5737120406989913,/home/4T/zcr/seg_base/universeg_config/batchnorm/log/24-05-09_21-30.log
universeg_config/batchnorm/full,0.744404703133497,/home/4T/zcr/seg_base/universeg_config/batchnorm/log/24-05-09_22-07.log
universeg_config/batchnorm/v2,0.6007431812650931,/home/4T/zcr/seg_base/universeg_config/batchnorm/log/24-05-10_11-58.log
universeg_config/reduce/14m,0.5002945608321588,/home/4T/zcr/seg_base/universeg_config/reduce/log/24-05-10_13-14.log
universeg_config/reduce/20m,0.6071008764001122,/home/4T/zcr/seg_base/universeg_config/reduce/log/24-05-10_14-09.log
universeg_config/reduce/37m,0.641430245297551,/home/4T/zcr/seg_base/universeg_config/reduce/log/24-05-10_15-09.log
